id,title,open_state,url,time_left_to_submission,submission_period_dates,themes,prize_amount,registrations_count,featured,organization_name,winners_announced
19176,Machine Hacks,open,https://machine-hacks.devpost.com/,12 days left,"Oct 09 - Nov 05, 2023","[{'id': 16, 'name': 'Health'}, {'id': 17, 'name': 'Low/No Code'}, {'id': 6, 'name': 'Machine Learning/AI'}]",$<span data-currency-value>0</span>,37,False,Rate-My-APs,False
16327,Syracuse Open Data Day,open,https://syracuse-open-data-day.devpost.com/,11 days left,"Oct 04 - Nov 04, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 13, 'name': 'Social Good'}, {'id': 28, 'name': 'Databases'}]","$<span data-currency-value>1,800</span>",25,False,City of Syracuse,False
19327,Ghost in the Machine: AI Spookathon,open,https://spookathon.devpost.com/,7 days left,"Oct 25 - 31, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 22, 'name': 'Open Ended'}]",$<span data-currency-value>0</span>,18,False,EVCCSC,False
19156,Innova BCP,open,https://innovabcp.devpost.com/,4 days left,"Oct 23 - 28, 2023","[{'id': 19, 'name': 'Education'}, {'id': 21, 'name': 'Enterprise'}, {'id': 6, 'name': 'Machine Learning/AI'}]","$<span data-currency-value>8,000</span>",13,False,BCP,False
19283,The Green Plan 2030 Challenge,open,https://the-green-plan-2030-challenge.devpost.com/,22 days left,"Oct 08 - Nov 16, 2023","[{'id': 19, 'name': 'Education'}, {'id': 7, 'name': 'IoT'}, {'id': 22, 'name': 'Open Ended'}]","$<span data-currency-value>1,200</span>",12,False,TPCC DMIG,False
19404,North Shore Hacks,open,https://north-shore-hacks.devpost.com/,10 days left,"Oct 25 - Nov 03, 2023","[{'id': 16, 'name': 'Health'}, {'id': 11, 'name': 'Productivity'}, {'id': 25, 'name': 'Web'}]","$<span data-currency-value>3,780</span>",11,False,West Vancouver Programming Club,False
19483,Spooky Software Hackathon,open,https://spooky-software-hackathon.devpost.com/,8 days left,"Oct 24 - Nov 02, 2023","[{'id': 18, 'name': 'Design'}, {'id': 4, 'name': 'Gaming'}, {'id': 15, 'name': 'Music/Art'}]",$<span data-currency-value>0</span>,6,False,EVCCSC,False
18628,Microsoft AI Classroom Hackathon,upcoming,https://microsoftaiclassroom.devpost.com/,Upcoming,"Oct 26 - Dec 06, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 19, 'name': 'Education'}, {'id': 6, 'name': 'Machine Learning/AI'}]","$<span data-currency-value>11,000</span>",1015,False,Microsoft,False
18513,NEARCON IRL Hackathon,upcoming,https://nearcon-hackathon.devpost.com/,Upcoming,"Nov 07 - 10, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 1, 'name': 'Blockchain'}, {'id': 25, 'name': 'Web'}]","$<span data-currency-value>140,000</span>",427,True,NEAR Protocol,False
18969,Decentralized Identity Foundation Hackathon,upcoming,https://difhackathon.devpost.com/,Upcoming,"Oct 26 - Dec 02, 2023","[{'id': 1, 'name': 'Blockchain'}, {'id': 21, 'name': 'Enterprise'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>19,500</span>",139,False,Decentralized Identity Foundation,False
18689,natHACKS 2023,upcoming,https://nathacks23.devpost.com/,Upcoming,"Nov 16 - 19, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 19, 'name': 'Education'}, {'id': 16, 'name': 'Health'}]","$CAD<span data-currency-value>27,000</span>",403,False,NeurAlbertaTech,False
19229,Constellation: A Chainlink Hackathon,upcoming,https://constellation-hackathon.devpost.com/,Upcoming,"Nov 08 - Dec 10, 2023","[{'id': 1, 'name': 'Blockchain'}, {'id': 3, 'name': 'Fintech'}, {'id': 25, 'name': 'Web'}]","$<span data-currency-value>430,002</span>",98,False,Chainlink,False
17170,EducateHacks,upcoming,https://educatehacks-2024.devpost.com/,Upcoming,"Apr 05 - 07, 2024","[{'id': 19, 'name': 'Education'}, {'id': 22, 'name': 'Open Ended'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>6,210</span>",275,False,EducateHacks,False
15579,Hacknight 2023,upcoming,https://hacknight-23.devpost.com/,Upcoming,"Oct 28 - 29, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 19, 'name': 'Education'}, {'id': 16, 'name': 'Health'}]","₹ <span data-currency-value>10,000</span>",212,False,Sahyadri Open Source Community,False
18043,LaunchHacks III,upcoming,https://launchhacks-iii.devpost.com/,Upcoming,"Apr 05 - 07, 2024","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 19, 'name': 'Education'}, {'id': 6, 'name': 'Machine Learning/AI'}]","$<span data-currency-value>35,000</span>",198,False,LaunchHacks,False
18959,HackNC 2023,upcoming,https://hacknc-2023.devpost.com/,Upcoming,"Oct 28 - 29, 2023","[{'id': 23, 'name': 'Beginner Friendly'}]","$<span data-currency-value>36,760</span>",22,True,HackNC,False
18598,DeveloperWeek 2024 Hackathon,upcoming,https://developerweek-2024-hackathon.devpost.com/,Upcoming,"Feb 05 - 23, 2024","[{'id': 2, 'name': 'DevOps'}, {'id': 21, 'name': 'Enterprise'}, {'id': 7, 'name': 'IoT'}]","$<span data-currency-value>12,500</span>",96,False,DevNetwork,False
18898,The Brandeis Quant Club ML/AI Competition,upcoming,https://quants.devpost.com/,Upcoming,"Nov 05 - 12, 2023","[{'id': 4, 'name': 'Gaming'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 27, 'name': 'Robotic Process Automation'}]","$<span data-currency-value>1,000</span>",82,False,Brandeis University,False
18262,IATA ONE Record Hackathon – hosted by Qatar Airways Cargo,upcoming,https://onerecord-doh.devpost.com/,Upcoming,"Nov 25 - 26, 2023","[{'id': 21, 'name': 'Enterprise'}, {'id': 7, 'name': 'IoT'}, {'id': 6, 'name': 'Machine Learning/AI'}]","$<span data-currency-value>12,000</span>",76,False,Qatar Airways Cargo,False
18657, Fitch Code For a Cause 2023 with Amazon,upcoming,https://fitch-code4good-london.devpost.com/,Upcoming,"Nov 02 - 03, 2023","[{'id': 13, 'name': 'Social Good'}]","£<span data-currency-value>5,350</span>",72,False,Fitch,False
19387,Fintech Collab Hack: TIAA Challenge,upcoming,https://asu-tiaa.devpost.com/,Upcoming,"Nov 03 - 05, 2023","[{'id': 3, 'name': 'Fintech'}, {'id': 4, 'name': 'Gaming'}, {'id': 6, 'name': 'Machine Learning/AI'}]",$<span data-currency-value>0</span>,70,False,TIAA,False
18778,WAI Global Responsible AI Hackathon,upcoming,https://wai-responsible-ai-hackathon.devpost.com/,Upcoming,"Nov 03 - 05, 2023","[{'id': 17, 'name': 'Low/No Code'}, {'id': 13, 'name': 'Social Good'}, {'id': 18, 'name': 'Design'}]","$<span data-currency-value>15,000</span>",67,False,Women in AI,False
19217,HappyHacks III,upcoming,https://happyhacks3.devpost.com/,Upcoming,"Nov 03 - 05, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 11, 'name': 'Productivity'}]",$<span data-currency-value>225</span>,65,False,Happy Hackers Foundation,False
19287,Innovate Hacks,upcoming,https://innovate-hacks.devpost.com/,Upcoming,"Nov 13 - 26, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 22, 'name': 'Open Ended'}]","$<span data-currency-value>10,000</span>",63,False,Hack Club,False
18712,CLOSED for SIGNUPS - Code For a Cause 2023 - Chicago,upcoming,https://fitch-code4good-chicago.devpost.com/,Upcoming,"Dec 11 - 13, 2023","[{'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>5,100</span>",60,False,Fitch,False
19248,INRIX Hack 2023,upcoming,https://inrix-hack-2023.devpost.com/,Upcoming,"Nov 11 - 12, 2023","[{'id': 21, 'name': 'Enterprise'}, {'id': 26, 'name': 'Mobile'}, {'id': 25, 'name': 'Web'}]",$<span data-currency-value>0</span>,49,False,SCU ACM x INRIX,False
19314,Leh-Laf Hackathon,upcoming,https://leh-laf-2023.devpost.com/,Upcoming,"Nov 11 - 12, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 19, 'name': 'Education'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>1,100</span>",43,False,Lehigh CSBA,False
19095,MakeUC,upcoming,https://makeuc-2023.devpost.com/,Upcoming,"Nov 04 - 05, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 22, 'name': 'Open Ended'}]","$<span data-currency-value>17,945</span>",41,False,IEEE@UC,False
18781,Girls in Tech SF Hacking for Humanity 2023,upcoming,https://girlsintech2023.devpost.com/,Upcoming,"Nov 11 - 12, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 17, 'name': 'Low/No Code'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>3,000</span>",38,False,Girls in Tech SF,False
19432,HarvestHacks Bay Area,upcoming,https://ycwhacks.devpost.com/,Upcoming,"Nov 01 - 20, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 17, 'name': 'Low/No Code'}, {'id': 6, 'name': 'Machine Learning/AI'}]","$<span data-currency-value>138,712</span>",36,False,Youth Coding Workshops,False
17971,LaunchHacks IV,upcoming,https://launchhacks-iv.devpost.com/,Upcoming,"Apr 08 - 09, 2025","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 19, 'name': 'Education'}, {'id': 22, 'name': 'Open Ended'}]","$<span data-currency-value>20,000</span>",35,False,LaunchHacks,False
19462,CAPTURETHEWORLD,upcoming,https://capturetheworld.devpost.com/,Upcoming,"Oct 28 - 30, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>1,500</span>",29,False,Youth Coding Workshops,False
19272,HackNJIT 2023,upcoming,https://hacknjit-2023.devpost.com/,Upcoming,"Nov 04 - 05, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 19, 'name': 'Education'}, {'id': 22, 'name': 'Open Ended'}]","$<span data-currency-value>3,200</span>",28,False,NJIT ACM,False
17365,Hoya Hacks 2024,upcoming,https://hoya-hacks-2024.devpost.com/,Upcoming,"Jan 26 - 28, 2024","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 22, 'name': 'Open Ended'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>1,600</span>",27,False,Hoya Hacks,False
19310,Pebble Change the World Hackathon ($70K in prizes),upcoming,https://pebble-change-the-world.devpost.com/,Upcoming,"Oct 27 - Nov 06, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 13, 'name': 'Social Good'}, {'id': 11, 'name': 'Productivity'}]",$<span data-currency-value>0</span>,25,False,Pebble Education,False
19414,Solo Hacks 1.0,upcoming,https://solo-hacks-1-0.devpost.com/,Upcoming,"Nov 18 - 19, 2023","[{'id': 6, 'name': 'Machine Learning/AI'}, {'id': 19, 'name': 'Education'}, {'id': 13, 'name': 'Social Good'}]",$CAD<span data-currency-value>300</span>,25,False,grayscale,False
18319,LearnHacks ,upcoming,https://colearn-hacks.devpost.com/,Upcoming,"Nov 03 - 05, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 17, 'name': 'Low/No Code'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>1,000</span>",23,False,LearnHacks,False
19189,Hacking for Humanity - Tech para la inclusión financiera,upcoming,https://hacking-for-humanity-dr-2023.devpost.com/,Upcoming,"Nov 10 - 12, 2023","[{'id': 19, 'name': 'Education'}, {'id': 3, 'name': 'Fintech'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>212,000</span>",23,False,Girls in Tech DR,False
19318,LearnHacks,upcoming,https://learnhacks-1.devpost.com/,Upcoming,"Oct 27 - 29, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 19, 'name': 'Education'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>1,000</span>",19,False,LearnHacks,False
18909,LexHack 2023,upcoming,https://lexhack2023.devpost.com/,Upcoming,"Nov 11 - 12, 2023","[{'id': 23, 'name': 'Beginner Friendly'}]","$<span data-currency-value>12,500</span>",19,False,Lexhack,False
19306,HappyHacks IV,upcoming,https://happyhacks4.devpost.com/,Upcoming,"Dec 01 - 03, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 11, 'name': 'Productivity'}]",$<span data-currency-value>300</span>,19,False,Happy Hackers Foundation,False
18773,Horror Hacks 2023,upcoming,https://horror-hacks-23.devpost.com/,Upcoming,"Oct 27 - 29, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 18, 'name': 'Design'}, {'id': 25, 'name': 'Web'}]",$<span data-currency-value>75</span>,18,False,Alpharetta HS Hack Club,False
19406,Cal Hacks 10.0,upcoming,https://cal-hacks-10.devpost.com/,Upcoming,"Oct 27 - 29, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 22, 'name': 'Open Ended'}]",$<span data-currency-value>0</span>,17,False,Cal Hacks,False
19230,Hackathon 2023 - #Tech4Good,upcoming,https://hackathon-2023-for-health.devpost.com/,Upcoming,"Nov 03 - 05, 2023","[{'id': 18, 'name': 'Design'}, {'id': 16, 'name': 'Health'}, {'id': 13, 'name': 'Social Good'}]",$<span data-currency-value>300</span>,17,False,iStart Valley,False
19377,HackBlue Cyber Hackathon,upcoming,https://hackblue.devpost.com/,Upcoming,"Nov 17 - 28, 2023","[{'id': 9, 'name': 'Cybersecurity'}, {'id': 17, 'name': 'Low/No Code'}, {'id': 22, 'name': 'Open Ended'}]","$<span data-currency-value>66,815</span>",17,False,HackBlue,False
19175,Epson Innovation Challenge #3,upcoming,https://epson-innovation-challenge3.devpost.com/,Upcoming,"Oct 26 - Nov 03, 2023","[{'id': 6, 'name': 'Machine Learning/AI'}, {'id': 22, 'name': 'Open Ended'}, {'id': 11, 'name': 'Productivity'}]","$<span data-currency-value>10,997</span>",16,False,Foundry 415 Innovation Group,False
19243,"Cornucodia ($17k+ in prizes, internship opportunities)",upcoming,https://cornucodia.devpost.com/,Upcoming,"Nov 01 - 28, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 17, 'name': 'Low/No Code'}, {'id': 22, 'name': 'Open Ended'}]","$<span data-currency-value>17,400</span>",15,False,APEERS,False
18979,D Incuvator,upcoming,https://d-incuvator-18979.devpost.com/,Upcoming,"Dec 15 - 16, 2023","[{'id': 28, 'name': 'Databases'}, {'id': 19, 'name': 'Education'}, {'id': 12, 'name': 'Lifehacks'}]","$<span data-currency-value>4,000</span>",15,False,University of Colorado Denver,False
18761,HackRPI X,upcoming,https://hackrpi-x-2023.devpost.com/,Upcoming,"Nov 04 - 05, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 22, 'name': 'Open Ended'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>18,875</span>",13,False,Rensselaer Polytechnic Institute,False
19418,HackUTD X,upcoming,https://hackutd-x.devpost.com/,Upcoming,"Nov 04 - 05, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 22, 'name': 'Open Ended'}, {'id': 13, 'name': 'Social Good'}]",$<span data-currency-value>3</span>,13,False,hackutd,False
19434,Hack the Change 2023,upcoming,https://hack-the-change-2023-19434.devpost.com/,Upcoming,"Nov 10 - 12, 2023","[{'id': 22, 'name': 'Open Ended'}, {'id': 11, 'name': 'Productivity'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>10,600</span>",13,False,Code the Change YYC,False
18794,PioneerHacks V,upcoming,https://pioneerhacks-v.devpost.com/,Upcoming,"Feb 17 - 18, 2024","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 22, 'name': 'Open Ended'}, {'id': 13, 'name': 'Social Good'}]",$<span data-currency-value>0</span>,13,False,Tinovation,False
19257,The Tiger Games,upcoming,https://the-tiger-games-2.devpost.com/,Upcoming,"Nov 04 - 05, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 22, 'name': 'Open Ended'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>1,472</span>",12,False,Computing Org for Multicultural Students,False
18742,Just Hack: A Just Transition Challenge,upcoming,https://justhack2023.devpost.com/,Upcoming,"Nov 17 - 18, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 22, 'name': 'Open Ended'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>5,000</span>",12,False,Latino Community Fund,False
19210,MksU Hackfest 2023,upcoming,https://mksu-hackfest-2023.devpost.com/,Upcoming,"Nov 16 - 17, 2023","[{'id': 7, 'name': 'IoT'}, {'id': 6, 'name': 'Machine Learning/AI'}, {'id': 26, 'name': 'Mobile'}]",$<span data-currency-value>203</span>,11,False,Machakos University Tech Community,False
17723,[See desc for more info] PlanetUnity Winter '23 - WORLD,upcoming,https://planetunity-winter-23-world.devpost.com/,Upcoming,"Feb 17 - 25, 2024","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 22, 'name': 'Open Ended'}, {'id': 13, 'name': 'Social Good'}]",$<span data-currency-value>0</span>,11,False,Planet Unity,False
19334,Bharat TechXperience,upcoming,https://bharat-techxperience-19334.devpost.com/,Upcoming,"Oct 27 - 29, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 13, 'name': 'Social Good'}, {'id': 25, 'name': 'Web'}]","₹ <span data-currency-value>35,000</span>",10,False,Google Developer Student Clubs,False
19336,AI for Good Hackathon,upcoming,https://2023aiforgoodhackathon.devpost.com/,Upcoming,"Nov 03 - 05, 2023","[{'id': 6, 'name': 'Machine Learning/AI'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>3,000</span>",10,False,Florida Data Science for Good,False
16194,NextStep Hacks 2023,upcoming,https://nextstep2023.devpost.com/,Upcoming,"Dec 15 - 17, 2023","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 19, 'name': 'Education'}, {'id': 13, 'name': 'Social Good'}]",$<span data-currency-value>0</span>,10,False,HackAlphaX,False
18731,HackSimBuild 2024,upcoming,https://hacksimbuild-2024.devpost.com/,Upcoming,"May 20 - 21, 2024","[{'id': 18, 'name': 'Design'}, {'id': 2, 'name': 'DevOps'}, {'id': 13, 'name': 'Social Good'}]",$<span data-currency-value>0</span>,10,False,IBPSA-USA,False
19199,SkyHack 2023,upcoming,https://skyhack-2023.devpost.com/,Upcoming,"Nov 03 - 05, 2023","[{'id': 18, 'name': 'Design'}, {'id': 19, 'name': 'Education'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>7,500</span>",9,False,Kent State University,False
19431,QubitX Hacks,upcoming,https://qubitx.devpost.com/,Upcoming,"Dec 22, 2023 - Jan 14, 2024","[{'id': 28, 'name': 'Databases'}, {'id': 17, 'name': 'Low/No Code'}, {'id': 6, 'name': 'Machine Learning/AI'}]","$<span data-currency-value>1,000</span>",9,False,QubitX,False
19220,-,upcoming,https://hackcbs.devpost.com/,Upcoming,"Nov 03 - 05, 2023","[{'id': 25, 'name': 'Web'}]",₹ <span data-currency-value>0</span>,8,False,other,False
19313,Interledger Hackathon - ILP Summit 2023 Edition,upcoming,https://interledger-hackathon-2023.devpost.com/,Upcoming,"Nov 08, 2023","[{'id': 3, 'name': 'Fintech'}, {'id': 17, 'name': 'Low/No Code'}, {'id': 25, 'name': 'Web'}]","$<span data-currency-value>7,200</span>",7,False,Interledger Foundation,False
19449,GNEC Hackathon 2024 - Compete For UN - Affiliated / NGO Internships and prizes,upcoming,https://gnec-hackathon-2024.devpost.com/,Upcoming,"Jan 21 - Feb 11, 2024","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 13, 'name': 'Social Good'}, {'id': 25, 'name': 'Web'}]",$<span data-currency-value>0</span>,7,False,Global NGO Executive Committee,False
19365,Analytics For Good Hackathon,upcoming,https://analytics-for-good-hackathon.devpost.com/,Upcoming,"Feb 01 - 03, 2024","[{'id': 23, 'name': 'Beginner Friendly'}, {'id': 10, 'name': 'Communication'}, {'id': 13, 'name': 'Social Good'}]","$<span data-currency-value>15,000</span>",6,False,University of Minnesota,False
